number,name_full,name,suffix,canonization,birth,start,end,start_age,end_age,tenure_years,cardinalate,years_as_cardinal,canonization,Personal Name,Place of Birth,Modern-day country of birth,Comments
151,Damasus II,Damasus,2,,1000-06-30,1048-07-17,1048-08-09,48.048,48.109,0.061,NA,NA,,Poppo de Curagnoni ,"Pildenau, Duchy of Bavaria, Holy Roman Empire",Germany,NA
152,Leo IX,Leo,9,1082-06-30,1002-07-21,1049-02-12,1054-04-19,46.559,51.745,5.186,Unknown,Unknown,1082-06-30,Bruno von Egisheim-Dagsburg,"Eguisheim, Swabia, Holy Roman Empire",France,NA
153,Victor II,Victor,2,,1018-06-30,1055-04-13,1057-07-28,36.787,39.078,2.291,Unknown,Unknown,,Gebhard II von Calw-Dollnstein-Hirschberg,"Kingdom of Germany, Holy Roman Empire",Germany,NA
154,Stephen IX,Stephen,9,,1020-06-30,1057-08-02,1058-03-29,37.09,37.747,0.657,1049-06-30,8.09,,Frederic de Lorraine,"Duchy of Lorraine, Holy Roman Empire",France,NA
155,Nicholas II,Nicholas,2,,0980-06-30,1058-12-06,1061-07-27,78.434,81.075,2.641,NA,NA,,Gerald de Bourgogne,"Chateau de Chevron, Kingdom of Arles",France,NA
156,Alexander II,Alexander,2,,1018-06-30,1061-09-30,1073-04-21,43.25,54.809,11.559,NA,NA,,Anselmo da Baggio,"Milan, Italy, Holy Roman Empire",Italy,NA
157,Gregory VII,Gregory,7,1728-05-24,1015-06-30,1073-04-22,1085-05-25,57.811,69.903,12.092,1059-06-30,13.811,1728-05-24,Ildebrando Aldobrandeschi di Soana,"Sovana, Italy, Holy Roman Empire",Italy,NA
158,Victor III,Victor,3,1887-07-23,1026-06-30,1086-05-24,1087-09-16,59.9,61.212,1.311,1059-06-30,26.9,1887-07-23,"Dauferio Epifani Del Zotto (Desiderio, Desiderius, Dauferius )","Benevento, Duchy of Benevento",Italy,NA
159,Urban II,Urban,2,1881-07-14,1042-06-30,1088-03-12,1099-07-29,45.701,57.081,11.38,1073-06-30,14.701,1881-07-14,Odon de Lagery,"Lagery, County of Champagne, France",France,NA
160,Paschal II,Paschal,2,,1050-06-30,1099-08-13,1118-01-21,49.12,67.559,18.439,1073-06-30,26.12,,Rainero Ranieri,"Bleda, Papal States, Holy Roman Empire",Italy,NA
161,Gelasius II,Gelasius,2,,1061-06-30,1118-01-24,1119-01-29,56.567,57.581,1.014,1088-06-30,29.567,,Giovanni Caetani,"Gaeta, Principality of Capua",Italy,NA
162,Callixtus II,Callixtus,2,,1060-06-30,1119-02-02,1124-12-13,58.59,64.453,5.864,Unknown,Unknown,,"Guido, Comte de Bourgogne","Quingey, County of Burgundy, Holy Roman Empire",France,of French ethnicity. 
163,Honorius II,Honorius,2,,1060-02-09,1124-12-21,1130-02-13,64.866,70.011,5.145,1099-06-30,25.475,,Lamberto Scannabecchi da Fiagnano,"Fiagnano, Papal States, Holy Roman Empire",Italy,NA
164,Innocent II,Innocent,2,,1082-06-30,1130-02-14,1143-09-24,47.623,61.234,13.611,1088-06-30,41.623,,Gregorio Papareschi,"Rome, Papal States, Holy Roman Empire",Italy,NA
165,Celestine II,Celestine,2,,1085-06-30,1143-09-26,1144-03-08,58.239,58.69,0.451,1127-06-30,16.239,,Guido Guelfuccio de Castello ,"Citta di Castello, Papal States, Holy Roman Empire",Italy,NA
166,Lucius II,Lucius,2,,1079-06-30,1144-03-12,1145-02-15,64.701,65.626,0.925,1122-12-15,21.242,,Gherardo Caccianemici dall'Orso,"Bologna, Papal States, Holy Roman Empire",Italy,NA
167,Eugene III,Eugene,3,1872-12-28,1080-06-30,1145-02-15,1153-07-08,64.626,73.023,8.398,NA,NA,1872-12-28,Pietro dei Paganelli di Montemagno,"Pisa, Republic of Pisa, Holy Roman Empire",Italy,NA
168,Anastasius IV,Anastasius,4,,1073-06-30,1153-07-12,1154-12-03,80.034,81.426,1.392,1127-06-30,26.034,,Corrado Demetri della Suburra,"Rome, Papal States, Holy Roman Empire",Italy,NA
169,Adrian IV,Adrian,4,,1100-06-30,1154-12-04,1159-09-01,54.429,59.171,4.742,1146-06-30,8.429,,Nicholas Breakspear,"Abbots Langley, Hertfordshire, Kingdom of England",United Kingdom,The only English (Anglo-Saxon) pope
170,Alexander III,Alexander,3,,1100-06-30,1159-09-07,1181-08-30,59.187,81.167,21.98,1150-06-30,9.187,,Rolando Bandinelli ,"Siena, Italy, Holy Roman Empire",Italy,NA
171,Lucius III,Lucius,3,,1097-06-30,1181-09-01,1185-11-25,84.171,88.403,4.232,1141-06-30,40.171,,Ubaldo Allucignoli,"Lucca, Italy, Holy Roman Empire",Italy,NA
172,Urban III,Urban,3,,1120-06-30,1185-11-25,1187-10-20,65.403,67.306,1.903,1173-09-15,12.194,,Uberto Crivelli,"Cuggiono, Italy, Holy Roman Empire",Italy,NA
173,Gregory VIII,Gregory,8,,1100-06-30,1187-10-21,1187-12-17,87.309,87.464,0.156,1155-12-15,31.85,,Alberto di Morra,"Benevento, Papal States, Holy Roman Empire",Italy,NA
174,Clement III,Clement,3,,1130-06-30,1187-12-19,1191-03-20,57.47,60.723,3.253,1179-03-15,8.761,,Paolo Scolari,"Rome, Papal States, Holy Roman Empire",Italy,NA
175,Celestine III,Celestine,3,,1106-06-30,1191-03-30,1198-01-08,84.75,91.523,6.773,1144-02-09,47.141,,Giacinto Bobone Orsini,"Rome, Papal States, Holy Roman Empire",Italy,NA
176,Innocent III,Innocent,3,,1161-06-30,1198-01-08,1216-07-16,36.523,55.045,18.522,1190-09-15,7.314,,Lothario dei Conti di Segni,"Gavignano, Papal States, Holy Roman Empire",Italy,NA
177,Honorius III,Honorius,3,,1148-06-30,1216-07-18,1227-03-18,68.05,78.717,10.667,1193-02-20,23.411,,Cencio Savelli,"Rome, Papal States, Holy Roman Empire",Italy,NA
178,Gregory IX,Gregory,9,,1145-06-30,1227-03-19,1241-08-22,81.72,96.145,14.425,1198-12-15,28.261,,Ugolino dei Conti di Segni,"Anagni, Papal States, Holy Roman Empire",Italy,NA
179,Celestine IV,Celestine,4,,1180-06-30,1241-10-25,1241-11-10,61.32,61.362,0.042,1227-09-18,14.103,,Goffredo Castiglioni,"Milan, Italy, Holy Roman Empire",Italy,Died before coronation. 
180,Innocent IV,Innocent,4,,1195-06-30,1243-06-25,1254-12-07,47.986,59.437,11.451,1227-09-18,15.769,,Sinibaldo Fieschi,"Genoa, Republic of Genoa, Holy Roman Empire",Italy,NA
181,Alexander IV,Alexander,4,,1199-06-30,1254-12-12,1261-05-25,55.451,61.903,6.452,1227-09-18,27.234,,Rinaldo dei Conti di Jenne,"Jenne, Papal States, Holy Roman Empire",Italy,First pope born after the Papal States ceased to be a state of the Holy Roman Empire.
182,Urban IV,Urban,4,,1195-06-30,1261-08-29,1264-10-02,66.164,69.257,3.093,NA,NA,,Jacques Pantaleon,"Troyes, County of Champagne, France",France,NA
183,Clement IV,Clement,4,,1190-11-23,1265-02-05,1268-11-29,74.201,78.016,3.816,1261-12-17,3.134,,Gui Faucoi,"Saint-Gilles, Languedoc, France",France,NA
184,Gregory X,Gregory,10,1713-07-08,1210-06-30,1271-09-01,1276-01-10,61.171,65.529,4.358,NA,NA,1713-07-08,Tebaldo Visconti,"Piacenza, Italy, Holy Roman Empire",Italy,NA
185,Innocent V,Innocent,5,1898-03-09,1224-06-30,1276-01-21,1276-06-22,51.559,51.978,0.419,1273-06-03,2.633,1898-03-09,Pierre de Tarentaise,"County of Savoy, Holy Roman Empire",Italy,of French ethnicity. 
186,Adrian V,Adrian,5,,1216-06-30,1276-07-11,1276-08-18,60.031,60.134,0.103,1251-12-15,24.572,,Ottobuono Fieschi,"Genoa, Republic of Genoa, Holy Roman Empire",Italy,NA
187,John XXI,John,21,,1215-06-30,1276-09-08,1277-05-20,61.19,61.889,0.699,1273-06-03,3.264,,Pedro Julião (a.k.a. Petrus Hispanus and Pedro Hispano) ,"Lisbon, Portugal",Portugal,"Due to a confusion over the numbering of popes named John in the 13th century, the ordinal XX was skipped. "
188,Nicholas III,Nicholas,3,,1216-06-30,1277-11-25,1280-08-22,61.403,64.145,2.742,1244-03-28,33.659,,Giovanni Gaetano Orsini,"Rome, Papal States, Holy Roman Empire",Italy,NA
189,Martin IV,Martin,4,,1210-06-30,1281-02-22,1285-03-28,70.645,74.745,4.1,1261-12-17,19.18,,Simon de Brion,"Meinpicien, Touraine, France",France,NA
190,Honorius IV,Honorius,4,,1210-06-30,1285-04-02,1287-04-03,74.757,76.759,2.003,1261-12-17,23.292,,Giacomo Savelli,"Rome, Papal States, Holy Roman Empire",Italy,NA
191,Nicholas IV,Nicholas,4,,1227-09-30,1288-02-22,1292-04-04,60.395,64.512,4.117,1278-03-12,9.944,,Girolamo Masci,"Lisciano, Papal States, Holy Roman Empire",Italy,NA
192,Celestine V,Celestine,5,1313-05-05,1215-06-30,1294-07-05,1294-12-13,79.015,79.453,0.439,NA,NA,1313-05-05,Pietro da Morrone or Pietro Angelerio,"Sant' Angelo Limosano, Kingdom of Sicily",Italy,Resigned from office and rumoured to have been murdered in prison by Boniface VIII. 
193,Boniface VIII,Boniface,8,,1230-06-30,1294-12-24,1303-10-11,64.484,73.281,8.798,1281-04-12,13.7,,Benedetto Caetani,"Anagni, Papal States, Holy Roman Empire",Italy,NA
194,Benedict XI,Benedict,11,1736-04-24,1240-06-30,1303-10-22,1304-07-07,63.311,64.02,0.709,1298-12-04,4.883,1736-04-24,Niccolo Boccasini,"Treviso, Italy, Holy Roman Empire",Italy,NA
195,Clement V,Clement,5,,1264-06-30,1305-06-05,1314-04-20,40.932,49.806,8.874,NA,NA,,Raymond Bertrand de Gouth ,"Villandraut, Gascony, France",France,NA
196,John XXII,John,22,,1244-06-30,1316-08-07,1334-12-04,72.104,90.429,18.325,1312-12-23,3.623,,Jacques d'Euse; Jacques Duèse,"Cahors, Quercy, France",France,NA
197,Benedict XII,Benedict,12,,1280-06-30,1334-12-20,1342-04-25,54.473,61.82,7.347,1327-12-18,7.005,,Jacques Fournier,"Saverdun, County of Foix, France",France,NA
198,Clement VI,Clement,6,,1291-06-30,1342-05-07,1352-12-06,50.854,61.434,10.581,1338-12-18,3.387,,Pierre Roger,"Maumont, Limousin, France",France,NA
199,Innocent VI,Innocent,6,,1282-06-30,1352-12-18,1362-09-12,70.467,80.201,9.734,1342-09-20,10.245,,Etienne Aubert,"Les Monts, Limousin, France",France,NA
200,Urban V,Urban,5,1870-03-10,1309-06-30,1362-09-28,1370-12-19,53.245,61.47,8.225,NA,NA,1870-03-10,Guillaume (de) Grimoard,"Grizac, Languedoc, France",France,NA
201,Gregory XI,Gregory,11,,1329-06-30,1370-12-30,1378-03-27,41.5,48.742,7.242,1348-05-29,22.586,,Pierre Roger de Beaufort,"Maumont, Limousin, France ",France,The last French pope. 
202,Urban VI,Urban,6,,1318-06-30,1378-04-08,1389-10-15,59.773,71.292,11.519,NA,NA,,Bartolomeo Prignano,"Naples, Kingdom of Naples",Italy,Last pontiff to be elected outside the College of Cardinals. 
203,Boniface IX,Boniface,9,,1348-06-30,1389-11-02,1404-10-01,41.34,56.254,14.914,1381-12-21,7.865,,Pietro Tomacelli Cybo,"Naples, Kingdom of Naples",Italy,NA
204,Innocent VII,Innocent,7,,1336-06-30,1404-10-17,1406-11-06,68.298,70.351,2.053,1389-12-18,14.831,,Cosimo Gentile Migliorati,"Sulmona, Kingdom of Naples",Italy,NA
205,Gregory XII,Gregory,12,,1327-06-30,1406-11-30,1415-07-04,79.417,88.012,8.595,1405-06-12,1.466,,Angelo Correr,"Venice, Republic of Venice",Italy,Abdicated. 
206,Martin V,Martin,5,,1369-06-30,1417-11-11,1431-02-20,48.365,61.639,13.275,1405-06-12,12.414,,Oddone Colonna,"Genazzano, Papal States",Italy,NA
207,Eugene IV,Eugene,4,,1383-06-30,1431-03-03,1447-02-23,47.676,63.647,15.971,1408-05-09,22.817,,Gabriele Condulmer,"Venice, Republic of Venice",Italy,Nephew of Gregory XII. 
208,Nicholas V,Nicholas,5,,1397-11-13,1447-03-06,1455-03-24,49.314,57.363,8.049,1446-12-16,0.223,,Tommaso Parentucelli,"Sarzana, Republic of Genoa",Italy,NA
209,Callixtus III,Callixtus,3,,1378-12-31,1455-04-08,1458-08-06,76.27,79.598,3.328,1444-05-02,10.933,,Alfonso de Borja,"Xativa, Kingdom of Valencia, Crown of Aragon",Spain,The first Spanish (Valencian) pope.
210,Pius II,Pius,2,,1405-10-18,1458-08-19,1464-08-15,52.836,58.825,5.989,1456-12-17,1.672,,Enea Silvio Piccolomini,"Corsignano, Republic of Siena",Italy,NA
211,Paul II,Paul,2,,1417-02-23,1464-08-30,1471-07-26,47.519,54.425,6.906,1440-07-01,24.163,,Pietro Barbo,"Venice, Republic of Venice",Italy, The nephew of Eugene IV.
212,Sixtus IV,Sixtus,4,,1414-07-21,1471-08-09,1484-08-12,57.05,70.059,13.008,1467-09-18,3.892,,Francesco della Rovere,"Celle Ligure, Republic of Genoa",Italy,NA
213,Innocent VIII,Innocent,8,,1432-06-30,1484-08-29,1492-07-25,52.164,60.07,7.906,1473-05-07,11.31,,Giovanni Battista Cybo,"Genoa, Republic of Genoa",Italy,NA
214,Alexander VI,Alexander,6,,1431-01-01,1492-08-11,1503-08-18,61.611,72.63,11.019,1456-09-17,35.9,,Rodrigo de Lanzol-Borgia,"Xativa, Kingdom of Valencia, Crown of Aragon",Spain,"Nephew of Callixtus III, second Spanish pope"
215,Pius III,Pius,3,,1439-05-29,1503-09-22,1503-10-18,64.314,64.387,0.072,1460-03-05,43.547,,Francesco Todeschini Piccolomini,"Siena, Republic of Siena",Italy,Nephew of Pius II. 
216,Julius II,Julius,2,,1443-12-05,1503-10-31,1513-02-21,59.905,69.21,9.306,1471-12-16,31.874,,Giuliano della Rovere,"Albisola, Republic of Genoa",Italy,Nephew of Sixtus IV
217,Leo X,Leo,10,,1475-12-11,1513-03-09,1521-12-01,37.244,45.973,8.728,1489-03-09,24,,Giovanni di Lorenzo de' Medici,"Florence, Republic of Florence",Italy,The last pope to not have been in priestly orders at the time of his election to the papacy. 
218,Adrian VI,Adrian,6,,1459-03-02,1522-01-09,1523-09-14,62.852,64.533,1.68,1517-07-01,4.522,,Adriaan Floriszoon Boeyens,"Utrecht, Bishopric of Utrecht, Holy Roman Empire (presently The Netherlands",Netherlands, The only Dutch pope; last non-Italian to be elected pope until John Paul II in 1978.
219,Clement VII,Clement,7,,1478-05-26,1523-11-26,1534-09-25,45.5,56.331,10.831,1513-09-23,10.175,,Giulio di Giuliano de' Medici,"Florence, Republic of Florence",Italy,Cousin of Leo X. 
220,Paul III,Paul,3,,1468-02-29,1534-10-13,1549-11-10,66.623,81.698,15.075,1493-09-20,41.064,,Alessandro Farnese,"Canino, Lazio, Papal States",Italy,NA
221,Julius III,Julius,3,,1487-09-10,1550-02-07,1555-03-29,62.408,67.552,5.144,1536-12-22,13.126,,Giovanni Maria Ciocchi del Monte,"Rome, Papal States",Italy,NA
222,Marcellus II,Marcellus,2,,1501-05-06,1555-04-09,1555-05-01,53.925,53.986,0.061,1539-12-19,15.306,,Marcello Cervini degli Spannochi,"Montefano, Marche, Papal States",Italy,The last to use his birth name as the regnal name.
223,Paul IV,Paul,4,,1476-06-28,1555-05-23,1559-08-18,78.903,83.139,4.236,1536-12-22,18.419,,Giovanni Pietro Carafa,"Capriglia Irpina, Campania, Kingdom of Naples",Italy,NA
224,Pius IV,Pius,4,,1499-03-31,1559-12-26,1565-12-09,60.736,66.69,5.953,1549-04-08,10.716,,Giovanni Angelo Medici,"Milan, Duchy of Milan",Italy,NA
225,Pius V,Pius,5,1712-05-22,1504-01-17,1566-01-07,1572-05-01,61.973,68.29,6.317,1557-03-15,8.811,1712-05-22,Antonio Ghislieri,"Bosco, Duchy of Milan",Italy,NA
226,Gregory XIII,Gregory,13,,1502-01-07,1572-05-13,1585-04-10,70.35,83.258,12.908,1565-03-12,7.169,,Ugo Boncompagni,"Bologna, Papal States",Italy,NA
227,Sixtus V,Sixtus,5,,1521-12-13,1585-04-24,1590-08-27,63.363,68.705,5.342,1570-05-17,14.936,,Felice Peretti di Montalto,"Grottammare, Marche, Papal States",Italy,NA
228,Urban VII,Urban,7,,1521-08-04,1590-09-15,1590-09-27,69.113,69.146,0.033,1583-12-12,6.758,,Giovanni Battista Castagna,"Rome, Papal States",Italy,"Shortest-reigning pope; died before coronation. Set the first known worldwide smoking ban, banning smoking in and near all churches. "
229,Gregory XIV,Gregory,14,,1535-02-11,1590-12-05,1591-10-16,55.817,56.68,0.863,1583-12-12,6.981,,Niccolo Sfondrati,"Somma Lombardo, Duchy of Milan",Italy,NA
230,Innocent IX,Innocent,9,,1519-07-20,1591-10-29,1591-12-30,72.275,72.444,0.169,1583-12-12,7.88,,Giovanni Antonio Facchinetti,"Bologna, Papal States",Italy,NA
231,Clement VIII,Clement,8,,1536-02-24,1592-01-30,1605-03-03,55.933,69.026,13.093,1585-12-18,6.116,,Ippolito Aldobrandini,"Fano, Marche, Papal States",Italy,NA
232,Leo XI,Leo,11,,1535-06-02,1605-04-01,1605-04-27,69.831,69.902,0.071,1583-12-12,21.303,,Alessandro Ottaviano de Medici,"Florence, Duchy of Florence",Italy,"The great-nephew of Leo X. Called ""Papa Lampo"" (Lightning Pope) for his brief pontificate. "
233,Paul V,Paul,5,,1550-09-17,1605-05-16,1621-01-28,54.664,70.363,15.699,1596-06-05,8.947,,Camillo Borghese,"Rome, Papal States",Italy,NA
234,Gregory XV,Gregory,15,,1554-01-09,1621-02-09,1623-07-08,67.083,69.497,2.414,1616-09-19,4.389,,Alessandro Ludovisi,"Bologna, Papal States",Italy,NA
235,Urban VIII,Urban,8,,1568-04-05,1623-08-06,1644-07-29,55.336,76.316,20.98,1606-09-11,16.903,,Maffeo Barberini,"Florence, Grand Duchy of Tuscany",Italy,The last pope to expand papal territory by force of arms. Issued a 1624 bill that made the use of tobacco in holy places punishable by excommunication. 
236,Innocent X,Innocent,10,,1574-05-06,1644-09-15,1655-01-07,70.358,80.669,10.311,1627-08-30,17.042,,Giovanni Battista Pamphilj,"Rome, Papal States",Italy,The great-great-great-grandson of Alexander VI.
237,Alexander VII,Alexander,7,,1599-02-13,1655-04-07,1667-05-22,56.15,68.275,12.124,1652-02-19,3.134,,Fabio Chigi,"Siena, Grand Duchy of Tuscany",Italy,Great-nephew of Paul V. 
238,Clement IX,Clement,9,,1600-01-28,1667-06-20,1669-12-09,67.395,69.865,2.47,1657-04-09,10.197,,Giulio Rospigliosi,"Pistoia, Grand Duchy of Tuscany",Italy,NA
239,Clement X,Clement,10,,1590-07-13,1670-04-29,1676-07-22,79.794,86.025,6.231,1669-11-29,0.417,,Emilio Bonaventura Altieri,"Rome, Papal States",Italy,Canonized the first saint from the Americas: St. Rose of Lima (1671)
240,Innocent XI,Innocent,11,1956-10-07,1611-05-16,1676-09-21,1689-08-12,65.347,78.239,12.892,1645-03-06,31.541,1956-10-07,Benedetto Odescalchi,"Como, Duchy of Milan",Italy,NA
241,Alexander VIII,Alexander,8,,1610-04-22,1689-10-06,1691-02-01,79.456,80.776,1.32,1652-02-19,37.631,,Pietro Vito Ottoboni,"Venice, Republic of Venice",Italy,NA
242,Innocent XII,Innocent,12,,1615-03-13,1691-07-12,1700-09-27,76.331,85.538,9.208,1681-09-01,9.863,,Antonio Pignatelli,"Spinazzola, Kingdom of Naples",Italy,NA
243,Clement XI,Clement,11,,1649-07-23,1700-11-23,1721-03-19,51.333,71.656,20.322,1690-02-13,10.777,,Giovanni Francesco Albani,"Urbino, Marche, Papal States",Italy,NA
244,Innocent XIII,Innocent,13,,1655-05-13,1721-05-08,1724-03-07,65.986,68.817,2.831,1706-06-07,14.919,,Michelangelo dei Conti,"Poli, Lazio, Papal States",Italy,NA
245,Benedict XIII,Benedict,13,2017-02-24,1649-02-02,1724-05-29,1730-02-21,75.324,81.052,5.728,1672-02-22,52.269,2017-02-24,Pietro Francesco Orsini,"Gravina in Puglia, Kingdom of Naples",Italy,third and last member of the Orsini family to be pope. Originally called Benedict XIV due to the antipope but reverted to XIII. Repealed the worldwide tobacco smoking ban set by Urban VII and Urban VIII.
246,Clement XII,Clement,12,,1652-04-07,1730-07-12,1740-02-06,78.264,87.831,9.567,1706-05-17,24.153,,Lorenzo Corsini,"Florence, Grand Duchy of Tuscany",Italy,NA
247,Benedict XIV,Benedict,14,,1675-03-31,1740-08-17,1758-05-03,65.378,83.09,17.712,1726-12-09,13.689,,Prospero Lorenzo Lambertini,"Bologna, Papal States",Italy,NA
248,Clement XIII,Clement,13,,1693-03-07,1758-07-06,1769-02-02,65.331,75.903,10.572,1737-12-20,20.545,,Carlo della Torre di Rezzonico,"Venice, Republic of Venice",Italy,NA
249,Clement XIV,Clement,14,,1705-10-31,1769-05-19,1774-09-22,63.55,68.892,5.342,1759-09-24,9.653,,Giovanni Vincenzo Antonio Ganganelli,"Sant' Arcangelo di Romagna, Papal States",Italy,NA
250,Pius VI,Pius,6,,1717-12-25,1775-02-15,1799-08-29,57.139,81.678,24.538,1773-04-26,1.803,,Count Giovanni Angelo Braschi,"Cesena, Papal States",Italy,The last pope to be a patron of Renaissance art. 
251,Pius VII,Pius,7,2007-08-15,1742-08-14,1800-03-14,1823-08-20,57.583,81.016,23.433,1785-02-14,15.083,2007-08-15,Barnaba Niccolò Maria Luigi Chiaramonti,"Cesena, Papal States",Italy,NA
252,Leo XII,Leo,12,,1760-08-22,1823-09-28,1829-02-10,63.1,68.467,5.367,1816-03-08,7.555,,Annibale Francesco Clemente Melchiore Girolamo Nicola Sermattei della Genga,"Genga or Spoleto, Papal States",Italy,NA
253,Pius VIII,Pius,8,,1761-11-20,1829-03-31,1830-11-30,67.363,69.027,1.664,1816-03-08,13.063,,Francesco Saverio Castiglioni,"Cingoli, Marche, Papal States",Italy,NA
254,Gregory XVI,Gregory,16,,1765-09-18,1831-02-02,1846-06-01,65.373,80.703,15.331,1825-03-21,5.865,,Bartolomeo Alberto Cappellari,"Belluno, Republic of Venice",Italy,last non-bishop to be elected to the papacy.
255,Pius IX,Pius,9,2000-09-03,1792-05-13,1846-06-16,1878-02-07,54.092,85.734,31.642,1839-12-23,6.481,2000-09-03,Giovanni Maria Mastai-Ferretti,"Senigallia, Marche, Papal States",Italy,Longest-serving pope since Peter (c. AD 30–64). 
256,Leo XIII,Leo,13,,1810-03-02,1878-02-20,1903-07-20,67.966,93.383,25.417,1853-12-19,24.169,,Gioacchino Vincenzo Raffaele Luigi Pecci,"Carpineto Romano, Rome departement, French Empire (now Italy)",Italy,"Born as a French citizen, of Italian ethnicity, later became a subject of the Papal States and finally an Italian citizen.Had the third-longest reign after Pius IX, and John Paul II. first pope to fully embrace the concept of Mary as mediatrix. First Pope to be filmed by a motion picture camera and the first pope with voice recorded."
257,Pius X,Pius,10,1954-05-29,1835-06-02,1903-08-04,1914-08-20,68.172,79.216,11.044,1893-06-12,10.145,1954-05-29,Giuseppe Melchiorre Sarto,"Riese, Lombardy-Venetia, Austrian Empire",Italy,NA
258,Benedict XV,Benedict,15,,1854-11-21,1914-09-03,1922-01-22,59.784,67.169,7.385,1914-03-25,0.44,,Giacomo Della Chiesa,"Genoa, Kingdom of Sardinia",Italy,NA
259,Pius XI,Pius,11,,1857-05-31,1922-02-06,1939-02-10,64.682,81.692,17.011,1921-06-13,0.647,,Achille Ambrogio Damiano Ratti,"Desio, Lombardy-Venetia, Austrian Empire",Italy,NA
260,Pius XII,Pius,12,2009-12-19,1876-03-02,1939-03-02,1958-10-09,63,82.603,19.603,1929-12-16,9.212,2009-12-19,Eugenio Maria Giuseppe Giovanni Pacelli,"Rome, Italy",Italy,Eliminated the Italian majority of cardinals. 
261,John XXIII,John,23,2014-04-27,1881-11-25,1958-10-28,1963-06-03,76.925,81.523,4.598,1953-01-12,5.794,2014-04-27,Angelo Giuseppe Roncalli,"Sotto il Monte, Bergamo, Italy",Italy,NA
262,Paul VI,Paul,6,2018-10-14,1897-09-26,1963-06-21,1978-08-06,65.736,80.862,15.126,1958-12-15,4.516,2018-10-14,Giovanni Battista Enrico Antonio Maria Montini,"Concesio, Brescia, Italy",Italy,Last pope to be crowned. First pope since 1809 to travel outside Italy. 
263,John Paul I,John Paul,1,2022-09-04,1912-10-17,1978-08-26,1978-09-28,65.858,65.947,0.089,1973-03-05,5.474,2022-09-04,Albino Luciani,"Forno di Canale, Veneto, Italy",Italy,Abolished the coronation and opted for the papal inauguration. First pope to use 'the First' in papal name; first with two names for two immediate predecessors. Last pope to use the sedia gestatoria. 
264,John Paul II,John Paul,2,2014-04-27,1920-05-18,1978-10-16,2005-04-02,58.411,84.873,26.462,1967-06-26,11.306,2014-04-27,Karol Jozef Wojtyla,"Wadowice, Poland",Poland,"first pope of Slavic origin. First non-Italian pope since Adrian VI (1522–1523). Travelled extensively, visiting 129 countries during his pontificate. Second-longest reign after Pius IX. Canonized more saints than all his predecessors. Youngest individual to start his papacy since Pius IX (1846). "
265,Benedict XVI,Benedict,16,,1927-04-16,2005-04-19,2013-02-28,78.008,85.866,7.858,1977-06-27,27.811,,Joseph Alois Ratzinger,"Marktl am Inn, Bavaria, Germany",Germany,"Oldest to become pope since Clement XII (1730). Elevated the Tridentine Mass to a more prominent position and promoted the use of Latin; re-introduced several disused papal garments. Authorized the creation of Anglican ordinariates (2009). First pope to renounce the papacy on his own initiative since Celestine V (1294),[47] becoming pope emeritus.[48] Longest-lived pope on record."
266,Francis,Francis,1,,1936-12-17,2013-03-13,2025-04-21,76.239,88.344,12.105,2001-02-21,12.061,,Jorge Mario Bergoglio,Buenos Aires,Argentina,First pope to be born outside Europe since Gregory III (731–741) and the first from the Americas; first pope from the Southern Hemisphere. First pope from a religious institute since Gregory XVI (1831–1846); first Jesuit pope. First to use a new and non-composed regnal name since Lando (913–914). First pope to visit and celebrate a mass on the Arabian Peninsula.
267,Leo XIV,Leo,14,,1955-12-14,2025-05-08,NA,69.4,NA,NA,2023-09-30,1.606,,Robert Francis Prevost,Chicago,USA,"He is the first pope to have been born in the United States, the first from North America, the first to hold either U.S. or Peruvian citizenships (or both), the first born after World War II, the first from the Order of Saint Augustine, and the second (after his immediate predecessor Pope Francis) from the Americas. "
