number,name_full,name,suffix,canonization,birth,start,end,start_age,end_age,tenure_years,cardinalate,years_as_cardinal,canonization,Personal Name,Place of Birth,Modern-day country of birth,Comments
39,Anastasius I,Anastasius,1,,0340-06-30,0399-11-27,0401-12-19,59.408,61.47,2.061,NA,NA,,NA,Rome,Italy,NA
40,Innocent I,Innocent,1,,0378-06-30,0401-12-21,0417-03-12,23.475,38.701,15.225,NA,NA,,NA,Albano Laziale or Albania,Italy or Albania,NA
41,Zosimus,Zosimus,1,,0370-06-30,0417-03-18,0418-12-26,46.717,48.489,1.772,NA,NA,,NA,Calabria,Italy,of Greek descent. 
42,Boniface I,Boniface,1,,0377-06-30,0418-12-28,0422-09-04,41.495,45.179,3.684,NA,NA,,NA,Rome,Italy,NA
43,Celestine I,Celestine,1,,0380-06-30,0422-09-10,0432-07-27,42.195,52.075,9.88,NA,NA,,NA,"Campania, Western Roman Empire",Italy,NA
44,Sixtus III,Sixtus,3,,0390-06-30,0432-07-31,0440-08-18,42.086,50.134,8.048,NA,NA,,NA,Rome,Italy,NA
45,Leo I,Leo,1,,0390-06-30,0440-09-29,0461-11-10,50.247,71.362,21.115,NA,NA,,NA,Etruria,Italy,NA
46,Hilary,Hilary,1,,0400-06-30,0461-11-19,0468-02-29,61.387,67.664,6.277,NA,NA,,NA,"Sardinia, Western Roman Empire",Italy,NA
47,Simplicius,Simplicius,1,,0430-06-30,0468-03-03,0483-03-10,37.676,52.695,15.019,NA,NA,,NA,Tibur,Italy,NA
48,Felix III,Felix,3,,0440-06-30,0483-03-13,0492-03-01,42.703,51.671,8.967,NA,NA,,NA,Rome,Italy,Great-great-grandfather of pope Gregory I.
49,Gelasius I,Gelasius,1,,0410-06-30,0492-03-01,0496-11-21,81.671,86.392,4.721,NA,NA,,NA,Africa,Algeria,"of Berber descent. the last pope to have been born on the continent of Africa. The first pope called the ""Vicar of Christ"""
50,Anastasius II,Anastasius,2,,0445-06-30,0496-11-24,0498-11-19,51.4,53.387,1.986,0494-06-30,2.4,,NA,Rome,Italy,of Greek descent. Earliest pope not canonized by either the Latin Church or the Eastern Church. 
51,Symmachus,Symmachus,1,,0460-06-30,0498-11-22,0514-07-19,38.395,54.053,15.658,0496-06-30,2.395,,NA,Sardinia,Italy,NA
52,Hormisdas,Hormisdas,1,,0450-06-30,0514-07-20,0523-08-06,64.056,73.101,9.045,Unknown,Unknown,,NA,Frusino,Italy,NA
53,John I,John,1,,0470-06-30,0523-08-13,0526-05-18,53.12,55.884,2.764,0495-06-30,28.12,,NA,Tuscany,Italy,NA
54,Felix IV,Felix,4,,0490-06-30,0526-07-12,0530-09-22,36.034,40.228,4.194,0515-06-30,11.034,,NA,Samnium,Italy,NA
55,Boniface II,Boniface,2,,0490-06-30,0530-09-22,0532-10-17,40.228,42.298,2.07,Unknown,Unknown,,NA,Rome to Ostrogoth parents,Italy,First Germanic pope. Changed the numbering of the years in the Julian Calendar from the Era of the Martyrs to Anno Domini. 
56,John II,John,2,,0473-06-30,0533-01-02,0535-05-08,59.507,61.856,2.35,0531-06-30,1.507,,Mercurius,Rome,Italy,First pope not to use his personal name
57,Agapetus I,Agapetus,1,,0490-06-30,0535-05-13,0536-04-22,44.87,45.811,0.941,0530-06-30,4.87,,NA,"Rome, Ostrogothic Kingdom",Italy,NA
58,Silverius,Silverius,1,,0480-06-30,0536-06-08,0537-03-11,55.94,56.698,0.758,NA,NA,,NA,Campania,Italy,Son of Pope Hormisdas before he became a priest.
59,Vigilius,Vigilius,1,,0500-06-30,0537-03-29,0555-06-07,36.747,54.937,18.19,Unknown,Unknown,,NA,Rome,Italy,NA
60,Pelagius I,Pelagius,1,,0505-06-30,0556-04-16,0561-03-04,50.795,55.679,4.884,0544-06-30,11.795,,NA,Rome,Italy,NA
61,John III,John,3,,0520-06-30,0561-07-17,0574-07-13,41.048,54.037,12.989,Unknown,Unknown,,Catelinus,"Rome, Eastern Roman Empire",Italy,Second Pope not to use his personal name. 
62,Benedict I,Benedict,1,,0525-06-30,0575-06-02,0579-07-30,49.923,54.083,4.16,NA,NA,,NA,Rome,Italy,NA
63,Pelagius II,Pelagius,2,,0520-06-30,0579-11-26,0590-02-07,59.406,69.604,10.198,NA,NA,,NA,Rome,Italy,NA
64,Gregory I,Gregory,1,,0540-06-30,0590-09-03,0604-03-12,50.176,63.701,13.525,NA,NA,,NA,Rome,Italy,Great-great-grandson of pope Felix III.
65,Sabinian,Sabinian,1,,0530-06-30,0604-09-13,0606-02-22,74.203,75.645,1.441,0590-06-30,14.203,,NA,Blera,Italy,NA
66,Boniface III,Boniface,3,,0540-06-30,0607-02-19,0607-11-12,66.637,67.367,0.731,0590-06-30,16.637,,NA,Rome,Italy,of Greek descent. 
67,Boniface IV,Boniface,4,,0550-06-30,0608-09-15,0615-05-08,58.209,64.856,6.647,0591-06-30,17.209,,NA,Marsi,Italy,First Pope to bear the same name as his predecessor. Member of the Order of Saint Benedict.
68,Adeodatus I,Adeodatus,1,,0570-06-30,0615-11-13,0618-11-08,45.37,48.356,2.986,0590-06-30,25.37,,NA,Rome,Italy,"The first pope to use lead seals on papal documents, which in time came to be called papal bulls. "
69,Boniface V,Boniface,5,,0575-06-30,0619-12-23,0625-10-25,44.481,50.32,5.839,NA,NA,,NA,Naples,Italy,NA
70,Honorius I,Honorius,1,,0585-06-30,0625-10-27,0638-10-12,40.325,53.284,12.959,NA,NA,,NA,"Campania, Byzantine Empire",Italy,NA
71,Severinus,Severinus,1,,0585-06-30,0640-05-28,0640-08-02,54.911,55.09,0.179,0637-06-30,,,NA,Rome,Italy,NA
72,John IV,John,4,,0587-06-30,0640-12-24,0642-10-12,53.484,55.284,1.8,0636-06-30,,,NA,"Iadera, Dalmatia","Zadar, Croatia",NA
73,Theodore I,Theodore,1,,0610-06-30,0642-11-24,0649-05-14,32.4,38.873,6.473,0641-06-30,1.4,,NA,Jerusalem,Israel,of Greek ethnicity. The last pope from Palestine. the only pope to have been a native of Jerusalem.
74,Martin I,Martin,1,,0590-06-30,0649-07-05,0654-08-10,59.015,64.112,5.097,0648-06-30,1.015,,NA,"Near Todi, Umbria, Byzantine Empire",Italy,Last pope recognized as a martyr. 
75,Eugene I,Eugene,1,,0615-06-30,0654-08-10,0657-06-02,39.112,41.923,2.811,0654-06-30,0.112,,NA,Rome,Italy,NA
76,Vitalian,Vitalian,1,,0600-06-30,0657-07-30,0672-01-27,57.083,71.575,14.492,0654-06-30,3.083,,NA,"Segni, Byzantine Empire",Italy,NA
77,Adeodatus II,Adeodatus,2,,0621-06-30,0672-04-11,0676-06-17,50.781,54.964,4.183,NA,NA,,NA,"Rome, Byzantine Empire",Italy,NA
