number,name_full,name,suffix,canonization,birth,start,end,age_start,age_end,tenure,Personal Name,Place of Birth,Modern-day country of birth,Comments
29,Marcellinus,Marcellinus,1,Saint,0250-06-30T00:00:00Z,0296-06-30T00:00:00Z,0304-04-26T00:00:00Z,46.0013689253936,53.8206707734429,7.8224043715847,,Rome,Italy,
30,Marcellus I,Marcellus,1,Saint,0255-06-30T00:00:00Z,0308-05-27T00:00:00Z,0309-01-16T00:00:00Z,52.9062286105407,53.5468856947296,0.641095890410959,,Rome,Italy,
31,Eusebius,Eusebius,1,Saint,0255-06-30T00:00:00Z,0309-04-18T00:00:00Z,0310-08-17T00:00:00Z,53.7987679671458,55.129363449692,1.33150684931507,,"Achaea, Greece",Greece,
32,Miltiades,Miltiades,1,Saint,0270-06-30T00:00:00Z,0311-07-02T00:00:00Z,0314-01-10T00:00:00Z,41.0020533880903,43.5290896646133,2.52602739726027,,Africa,Africa,of Berber descent
33,Sylvester I,Sylvester,1,Saint,0285-06-30T00:00:00Z,0314-01-31T00:00:00Z,0335-12-31T00:00:00Z,28.5859000684463,50.4996577686516,21.9150684931507,,"Sant'Angelo a Scala, Avellino",Italy,
34,Mark,Mark,1,Saint,0290-06-30T00:00:00Z,0336-01-18T00:00:00Z,0336-10-07T00:00:00Z,45.5496235455168,46.2696783025325,0.718579234972678,,Rome,Italy,
35,Julius I,Julius,1,Saint,0280-06-30T00:00:00Z,0337-02-06T00:00:00Z,0352-04-12T00:00:00Z,56.6023271731691,71.7809719370294,15.1803278688525,,Rome,Italy,
36,Liberius,Liberius,1,NA,0310-06-30T00:00:00Z,0352-05-17T00:00:00Z,0366-09-24T00:00:00Z,41.8809034907598,56.2354551676934,14.3561643835616,,Rome,Italy,Earliest Pope not yet canonized by the Roman Church. Revered as a saint in Eastern Christianity.
37,Damasus I,Damasus,1,Saint,0305-06-30T00:00:00Z,0366-10-01T00:00:00Z,0384-12-11T00:00:00Z,61.2539356605065,79.4496919917865,18.1945205479452,,Rome or Lusitania (Portugal),Italy or Portugal,The first pope from modern-day Portugal.
38,Siricius,Siricius,1,Saint,0334-06-30T00:00:00Z,0384-12-17T00:00:00Z,0399-11-26T00:00:00Z,50.466803559206,65.4072553045859,14.9424657534247,,Rome,Italy,"Authored important decretal of 386 (written to Bishop Himerius of Tarragona), commanding celibacy for priests, the first decree on this subject."
