number,name_full,suffix,canonization,birth,start,end,age_start,age_end,tenure,gap_from_previous
150,Benedict IX,9,NA,1012-06-30T00:00:00Z,1047-11-08T00:00:00Z,1048-07-17T00:00:00Z,35,36,0.688524590163934,2.52156057494867
242,Innocent XII,12,NA,1615-03-13T00:00:00Z,1691-07-12T00:00:00Z,1700-09-27T00:00:00Z,76,85,9.21095890410959,1.91375770020534
133,John XIII,13,NA,0930-06-30T00:00:00Z,0965-10-01T00:00:00Z,0972-09-06T00:00:00Z,35,42,6.93169398907104,1.38261464750171
137,John XV,15,NA,0950-06-30T00:00:00Z,0985-08-20T00:00:00Z,0996-04-01T00:00:00Z,35,45,10.6147540983607,0.999315537303217
67,Boniface IV,4,Saint,0550-06-30T00:00:00Z,0608-09-15T00:00:00Z,0615-05-08T00:00:00Z,58,64,6.64383561643836,0.843258042436687
251,Pius VII,7,Servant of God,1742-08-14T00:00:00Z,1800-03-14T00:00:00Z,1823-08-20T00:00:00Z,57,81,23.4344262295082,0.539356605065024
239,Clement X,10,NA,1590-07-13T00:00:00Z,1670-04-29T00:00:00Z,1676-07-22T00:00:00Z,79,86,6.23013698630137,0.386036960985626
135,Benedict VII,7,NA,0930-06-30T00:00:00Z,0974-10-01T00:00:00Z,0983-07-10T00:00:00Z,44,53,8.77260273972603,0.314852840520192
249,Clement XIV,14,NA,1705-10-31T00:00:00Z,1769-05-19T00:00:00Z,1774-09-22T00:00:00Z,63,68,5.34520547945206,0.290212183436003
130,John XII,12,NA,0937-06-30T00:00:00Z,0964-02-26T00:00:00Z,0964-05-14T00:00:00Z,26,26,0.213114754098361,0.224503764544832
147,Benedict IX,9,NA,NA,1045-03-10T00:00:00Z,1045-05-01T00:00:00Z,NA,NA,0.142465753424658,0.188911704312115
86,John VII,7,NA,0655-06-30T00:00:00Z,0705-03-01T00:00:00Z,0707-10-18T00:00:00Z,49,52,2.63114754098361,0.134154688569473
141,John XVIII,18,NA,0965-06-30T00:00:00Z,1003-12-25T00:00:00Z,1009-07-18T00:00:00Z,38,44,5.56164383561644,0.134154688569473
90,Gregory III,3,Saint,0669-06-30T00:00:00Z,0731-03-18T00:00:00Z,0741-11-28T00:00:00Z,61,72,10.6986301369863,0.0958247775496235
225,Pius V,5,Saint,1504-01-17T00:00:00Z,1566-01-07T00:00:00Z,1572-05-01T00:00:00Z,61,68,6.31420765027322,0.0793976728268309
260,Pius XII,12,Venerable,1876-03-02T00:00:00Z,1939-03-02T00:00:00Z,1958-10-09T00:00:00Z,63,82,19.6054794520548,0.054757015742642
264,John Paul II,2,Saint,1920-05-18T00:00:00Z,1978-10-16T00:00:00Z,2005-04-02T00:00:00Z,58,84,26.4602739726027,0.0492813141683778
267,Leo XIV,14,NA,1955-09-14T00:00:00Z,2025-08-05T00:00:00Z,2025-05-08T00:00:00Z,59,60,1,121.80424366872
