number,name_full,suffix,canonization,birth,start,end,age_start,age_end,tenure,gap_from_previous
188,Nicholas III,3,NA,1216-06-30T00:00:00Z,1277-11-25T00:00:00Z,1280-08-22T00:00:00Z,61,64,2.74043715846995,216.328542094456
48,Felix III,3,Saint,0440-06-30T00:00:00Z,0483-03-13T00:00:00Z,0492-03-01T00:00:00Z,42,51,8.9672131147541,208.197125256674
254,Gregory XVI,16,NA,1765-09-18T00:00:00Z,1831-02-02T00:00:00Z,1846-06-01T00:00:00Z,65,80,15.3260273972603,207.567419575633
250,Pius VI,6,NA,1717-12-25T00:00:00Z,1775-02-15T00:00:00Z,1799-08-29T00:00:00Z,57,81,24.5342465753425,202.789869952088
228,Urban VII,7,NA,1521-08-04T00:00:00Z,1590-09-15T00:00:00Z,1590-09-27T00:00:00Z,69,69,0.0328767123287671,200.911704312115
155,Nicholas II,2,NA,0980-06-30T00:00:00Z,1058-12-06T00:00:00Z,1061-07-27T00:00:00Z,78,81,2.63835616438356,191.058179329227
44,Sixtus III,3,Saint,0390-06-30T00:00:00Z,0432-07-31T00:00:00Z,0440-08-18T00:00:00Z,42,50,8.04931506849315,173.982203969884
219,Clement VII,7,NA,1478-05-26T00:00:00Z,1523-11-26T00:00:00Z,1534-09-25T00:00:00Z,45,56,10.8301369863014,170.965092402464
104,Benedict III,3,NA,0810-06-30T00:00:00Z,0855-09-29T00:00:00Z,0858-04-17T00:00:00Z,45,47,2.54794520547945,170.390143737166
99,Eugene II,2,NA,0780-06-30T00:00:00Z,0824-05-08T00:00:00Z,0827-08-27T00:00:00Z,43,47,3.30327868852459,166.929500342231
107,John VIII,8,NA,0820-06-30T00:00:00Z,0872-12-14T00:00:00Z,0882-12-16T00:00:00Z,52,62,10.0054794520548,165.158110882957
226,Gregory XIII,13,NA,1502-01-07T00:00:00Z,1572-05-13T00:00:00Z,1585-04-10T00:00:00Z,70,83,12.9095890410959,156.856947296372
258,Benedict XV,15,NA,1854-11-21T00:00:00Z,1914-09-03T00:00:00Z,1922-01-22T00:00:00Z,59,67,7.38630136986301,156.331279945243
208,Nicholas V,5,NA,1397-11-13T00:00:00Z,1447-03-06T00:00:00Z,1455-03-24T00:00:00Z,49,57,8.04918032786885,154.913073237509
138,Gregory V,5,NA,0972-06-30T00:00:00Z,0996-05-03T00:00:00Z,0999-02-18T00:00:00Z,23,26,2.7972602739726,152.268309377139
237,Alexander VII,7,NA,1599-02-13T00:00:00Z,1655-04-07T00:00:00Z,1667-05-22T00:00:00Z,56,68,12.1229508196721,151.635865845311
102,Sergius II,2,NA,0790-06-30T00:00:00Z,0844-01-25T00:00:00Z,0847-01-27T00:00:00Z,53,56,3.00547945205479,142.379192334018
174,Clement III,3,NA,1130-06-30T00:00:00Z,1187-12-19T00:00:00Z,1191-03-20T00:00:00Z,57,60,3.24931506849315,140.191649555099
206,Martin V,5,NA,1369-06-30T00:00:00Z,1417-11-11T00:00:00Z,1431-02-20T00:00:00Z,48,61,13.2767123287671,132.618754277892
24,Sixtus II,2,Saint,0215-06-30T00:00:00Z,0257-08-30T00:00:00Z,0258-08-06T00:00:00Z,42,43,0.934246575342466,132.405201916496
186,Adrian V,5,NA,1216-06-30T00:00:00Z,1276-07-11T00:00:00Z,1276-08-18T00:00:00Z,60,60,0.104109589041096,116.859685147159
154,Stephen IX,9,Saint,1020-06-30T00:00:00Z,1057-08-02T00:00:00Z,1058-03-29T00:00:00Z,37,37,0.654794520547945,114.754277891855
96,Leo III,3,Saint,0750-06-30T00:00:00Z,0795-12-26T00:00:00Z,0816-06-12T00:00:00Z,45,65,20.4617486338798,112.479123887748
89,Gregory II,2,Saint,0669-06-30T00:00:00Z,0715-05-19T00:00:00Z,0731-02-11T00:00:00Z,45,61,15.7342465753425,111.181382614648
55,Boniface II,2,NA,0490-06-30T00:00:00Z,0530-09-22T00:00:00Z,0532-10-17T00:00:00Z,40,42,2.06849315068493,108.046543463381
81,Benedict II,2,Saint,0635-06-30T00:00:00Z,0684-06-26T00:00:00Z,0685-05-08T00:00:00Z,48,49,0.865753424657534,104.906228610541
